CELL_NAME=AK00000;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=40480;CI=1;NCC=3;BCC=0;BCCHNO=1;C_SYS_TYPE=GSM900
CELL_NAME=AK00001;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=40480;CI=2;NCC=3;BCC=0;BCCHNO=4;C_SYS_TYPE=GSM900
CELL_NAME=AK00002;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=40480;CI=3;NCC=3;BCC=0;BCCHNO=7;C_SYS_TYPE=GSM900
CELL_NAME=AK00003;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=40480;CI=4;NCC=3;BCC=0;BCCHNO=10;C_SYS_TYPE=GSM900
CELL_NAME=AK00004;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=40480;CI=5;NCC=3;BCC=0;BCCHNO=13;C_SYS_TYPE=GSM900
CELL_NAME=AK00005;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=40480;CI=6;NCC=3;BCC=0;BCCHNO=16;C_SYS_TYPE=GSM900
CELL_NAME=AK00006;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=40480;CI=7;NCC=3;BCC=1;BCCHNO=19;C_SYS_TYPE=GSM900
CELL_NAME=AK00007;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=40480;CI=8;NCC=3;BCC=1;BCCHNO=22;C_SYS_TYPE=GSM900
CELL_NAME=AK00008;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=40480;CI=9;NCC=3;BCC=1;BCCHNO=25;C_SYS_TYPE=GSM900
CELL_NAME=AK00009;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=40480;CI=10;NCC=3;BCC=1;BCCHNO=28;C_SYS_TYPE=GSM900
CELL_NAME=AK00010;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=40480;CI=11;NCC=3;BCC=1;BCCHNO=31;C_SYS_TYPE=GSM900
CELL_NAME=AK00011;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=40480;CI=12;NCC=3;BCC=1;BCCHNO=34;C_SYS_TYPE=GSM900
CELL_NAME=AK00012;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=40480;CI=13;NCC=3;BCC=2;BCCHNO=37;C_SYS_TYPE=GSM900
CELL_NAME=AK00013;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=40480;CI=14;NCC=3;BCC=2;BCCHNO=40;C_SYS_TYPE=GSM900
CELL_NAME=AK00014;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=40480;CI=15;NCC=3;BCC=2;BCCHNO=43;C_SYS_TYPE=GSM900
CELL_NAME=AK00015;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=40480;CI=16;NCC=3;BCC=2;BCCHNO=46;C_SYS_TYPE=GSM900
CELL_NAME=AK00016;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=40480;CI=17;NCC=3;BCC=2;BCCHNO=49;C_SYS_TYPE=GSM900
