CELL_NAME=4000000;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=14000;CI=1;NCC=3;BCC=0;BCCHNO=1;C_SYS_TYPE=GSM900
CELL_NAME=4000001;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=14000;CI=2;NCC=3;BCC=0;BCCHNO=4;C_SYS_TYPE=GSM900
CELL_NAME=4000002;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=14000;CI=3;NCC=3;BCC=0;BCCHNO=7;C_SYS_TYPE=GSM900
CELL_NAME=4000003;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=14000;CI=4;NCC=3;BCC=0;BCCHNO=10;C_SYS_TYPE=GSM900
CELL_NAME=4000004;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=14000;CI=5;NCC=3;BCC=0;BCCHNO=13;C_SYS_TYPE=GSM900
CELL_NAME=4000005;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=14000;CI=6;NCC=3;BCC=0;BCCHNO=16;C_SYS_TYPE=GSM900
CELL_NAME=4000006;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=14000;CI=7;NCC=3;BCC=1;BCCHNO=19;C_SYS_TYPE=GSM900
CELL_NAME=4000007;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=14000;CI=8;NCC=3;BCC=1;BCCHNO=22;C_SYS_TYPE=GSM900
CELL_NAME=4000008;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=14000;CI=9;NCC=3;BCC=1;BCCHNO=25;C_SYS_TYPE=GSM900
CELL_NAME=4000009;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=14000;CI=10;NCC=3;BCC=1;BCCHNO=28;C_SYS_TYPE=GSM900
CELL_NAME=4000010;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=14000;CI=11;NCC=3;BCC=1;BCCHNO=31;C_SYS_TYPE=GSM900
CELL_NAME=4000011;MCC=046;MNC=04;BSC.MNCDIGITHAND=2;LAC=14000;CI=12;NCC=3;BCC=1;BCCHNO=34;C_SYS_TYPE=GSM900
